Feature,P-Value,Bonferroni Corrected P-Value
GO:0003909,1.0,1.0
GO:0003911,0.3571428571428571,1.0
GO:0003916,0.5505798969072165,1.0
GO:0003917,1.0,1.0
GO:0003918,0.536082474226804,1.0
GO:0003919,1.0,1.0
GO:0003920,1.0,1.0
GO:0003921,1.0,1.0
GO:0003922,1.0,1.0
GO:0003924,1.0,1.0
GO:0003934,1.0,1.0
GO:0003935,1.0,1.0
GO:0003937,1.0,1.0
GO:0003938,1.0,1.0
GO:0003941,1.0,1.0
GO:0003942,1.0,1.0
GO:0003949,1.0,1.0
GO:0003950,1.0,1.0
GO:0003951,1.0,1.0
GO:0003952,1.0,1.0
GO:0003954,0.536082474226804,1.0
GO:0003955,1.0,1.0
GO:0003957,1.0,1.0
GO:0003960,1.0,1.0
GO:0003961,1.0,1.0
GO:0003962,1.0,1.0
GO:0003963,1.0,1.0
GO:0003973,1.0,1.0
GO:0003977,1.0,1.0
GO:0003978,1.0,1.0
GO:0003979,0.3571428571428571,1.0
GO:0003983,1.0,1.0
GO:0003984,1.0,1.0
GO:0003985,1.0,1.0
GO:0003986,1.0,1.0
GO:0003987,1.0,1.0
GO:0003988,1.0,1.0
GO:0003989,1.0,1.0
GO:0003991,1.0,1.0
GO:0003992,1.0,1.0
GO:0003993,1.0,1.0
GO:0003994,1.0,1.0
GO:0003995,1.0,1.0
GO:0003998,1.0,1.0
GO:0003999,1.0,1.0
GO:0004000,1.0,1.0
GO:0004014,1.0,1.0
GO:0004015,1.0,1.0
GO:0004016,1.0,1.0
GO:0004017,1.0,1.0
GO:0004018,1.0,1.0
GO:0004019,1.0,1.0
GO:0004020,1.0,1.0
GO:0004021,1.0,1.0
GO:0004022,1.0,1.0
GO:0004024,1.0,1.0
GO:0004025,1.0,1.0
GO:0004029,1.0,1.0
GO:0004030,1.0,1.0
GO:0004032,1.0,1.0
GO:0004033,1.0,1.0
GO:0004034,1.0,1.0
GO:0004035,1.0,1.0
GO:0004038,1.0,1.0
GO:0004040,1.0,1.0
GO:0004042,1.0,1.0
GO:0004044,1.0,1.0
GO:0004045,1.0,1.0
GO:0004047,1.0,1.0
GO:0004048,1.0,1.0
GO:0004049,1.0,1.0
GO:0004055,1.0,1.0
GO:0004056,1.0,1.0
GO:0004060,1.0,1.0
GO:0004064,1.0,1.0
GO:0004065,1.0,1.0
GO:0004066,1.0,1.0
GO:0004067,1.0,1.0
GO:0004068,1.0,1.0
GO:0004069,1.0,1.0
GO:0004070,1.0,1.0
GO:0004071,1.0,1.0
GO:0004072,1.0,1.0
GO:0004073,1.0,1.0
GO:0004075,1.0,1.0
GO:0004076,1.0,1.0
